"code","country","year","htflowsunodc","mediafreedom","prostitutionlaw","prostitutionbrothel","englishspeaking","frenchspeaking","spanishspeaking","portuguesespeaking","germanspeaking","protestantpopulation","muslimpopulation","catholic2","britishlegal","socialistlegal","frenchlegal","germanlegal","scandinavianlegal","visaonothers","visaatborder2onothers","urbanization","trade_gdp","alq_m","literacy","alq_f","alq_agri","mort_5","democracy","reg_west_europe","reg_east_asia","reg_europe","reg_latam","reg_mideast","reg_sasia","reg_ssa","inc_low","inc_low_mid","pop_ln","gdp_pc_const_ppp_ln","stockmigrants1990_ln","tourism_in_ln","ruleWB_m","prosecution_m","protection_m","prevention_m","execrlc_right_m","id","_mi_id","_mi_miss","_st","_d","_t","_t0","_mi_m"
"ABW","Aruba",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.7999992370605,222.92724609375,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,11.2941598892212,NA,NA,13.3358602523804,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,0
"ADO","Andorra",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,132,93.6999969482422,NA,NA,NA,NA,NA,6.40000009536743,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1.52053356170654,NA,NA,NA,NA,2,2,1,1,1,2,0,0
"AFG","Afghanistan",1995,0,90,0,0,0,0,0,0,0,0,99,0,0,0,1,0,0,192,192,19.7999992370605,NA,NA,NA,NA,NA,235.300003051758,0,0,0,0,0,0,1,0,1,0,16.8489971160889,NA,4.05525732040405,NA,-1.70624375343323,2.33333325386047,2.16666674613953,2.66666674613953,0,3,3,1,1,1,3,0,0
"AGO","Angola",1995,0,68,0,0,0,0,0,1,0,14.6800003051758,0,68.6999969482422,0,0,1,0,0,191,191,44,NA,NA,NA,NA,NA,248.100006103516,0,0,0,0,0,0,0,1,0,1,16.3443641662598,7.67166614532471,3.51154541969299,9.10497951507568,-1.57386755943298,2,2.66666674613953,3.16666674613953,0,4,4,1,1,1,4,0,0
"ALB","Albania",1995,3,67,0,0,0,0,0,0,0,0,69.9100036621094,0,0,0,1,0,0,182,142,38.9000015258789,46.9874229431152,NA,NA,NA,68.4000015258789,37.7000007629395,1,0,0,1,0,0,0,0,0,0,14.9577436447144,8.19037628173828,4.18965482711792,12.6247825622559,-1.2143087387085,5,3.16666674613953,3.5,0.5,5,5,1,1,1,5,0,0
"ANT","Netherlands Antilles",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,12.158257484436,NA,NA,13.5437021255493,NA,4,3,3,NA,6,6,1,1,1,6,0,0
"ARE","United Arab Emirates",1995,4,76,0,0,0,0,0,0,0,96.0299987792969,0,0.400000005960464,0,0,1,0,0,187,155,78.4000015258789,131.988494873047,1.72963809967041,NA,2.35260105133057,8,13.6999998092651,0,1,0,0,0,0,0,0,0,0,14.7040328979492,10.7400407791138,7.19315958023071,14.6549205780029,0.905699372291565,3.5,2,3.66666674613953,0,7,7,1,1,1,7,0,0
"ARG","Argentina",1995,3,29,0,0,0,0,1,0,0,7.51000022888184,1.49000000953674,91.5999984741211,0,0,1,0,0,124,124,88.6999969482422,19.7241134643555,16.5,NA,22.3000030517578,0.600000023841858,25.1000003814697,1,0,0,0,1,0,0,0,0,0,17.364315032959,9.17123031616211,7.40847015380859,14.6436252593994,0.0771028846502304,3.33333325386047,3.5,3,1,8,8,1,1,1,8,0,0
"ARM","Armenia",1995,0,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,179,4,66.3000030517578,86.1148529052734,NA,NA,NA,NA,48.4000015258789,1,0,0,1,0,0,0,0,0,1,14.9858751296997,7.44139051437378,6.49041986465454,9.39266204833984,-0.453134626150131,4.66666650772095,2.66666674613953,3,0,9,9,1,1,1,9,0,0
"ASM","American Samoa",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,192,85.3000030517578,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,NA,NA,NA,10.4341154098511,NA,NA,NA,NA,NA,10,10,1,1,1,10,0,0
"ATG","Antigua and Barbuda",1995,NA,35,0,0,NA,NA,NA,NA,NA,42.25,0,10.1999998092651,1,0,0,0,0,105,105,34,180.896347045898,NA,NA,NA,NA,26.2999992370605,1,0,0,0,1,0,0,0,0,0,11.1295833587646,9.45425605773926,2.4849066734314,12.3013830184937,0.994625866413116,2,2,3,NA,11,11,1,1,1,11,0,0
"AUS","Australia",1995,4,7,1,1,1,0,0,0,0,11.0600004196167,0,29.6000003814697,1,0,0,0,0,161,161,86.0999984741211,37.2158012390137,8.82086753845215,NA,8.0592679977417,5,7.09999990463257,1,1,0,0,0,0,0,0,0,0,16.7098751068115,10.1475172042847,8.18350887298584,15.1308460235596,1.7810446023941,5,4.5,4.83333349227905,0,12,12,1,1,1,12,0,0
"AUT","Austria",1995,4,18,1,0,0,0,0,0,1,5.32000017166138,0,88.8000030517578,0,0,0,1,0,132,132,65.8000030517578,70.6940841674805,3.13649082183838,NA,4.34527826309204,7.40000009536743,6.90000009536743,1,1,0,0,0,0,0,0,0,0,15.8890686035156,10.2241888046265,6.67607545852661,16.6588497161865,1.86340665817261,5,4.5,4.5,0,13,13,1,1,1,13,0,0
"AZE","Azerbaijan",1995,0,69,0,0,0,0,0,0,0,0,93.4199981689453,0,0,0,1,0,0,182,181,52.2000007629395,69.410888671875,NA,NA,NA,30.7999992370605,93.4000015258789,0,0,0,1,0,0,0,0,0,0,15.8547811508179,7.52499008178711,5.88776922225952,NA,-1.01244223117828,4.66666650772095,1.66666662693024,2.66666674613953,0,14,14,1,1,1,14,0,0
"BDI","Burundi",1995,1,88,0,0,0,1,0,0,0,0,0,78.3000030517578,0,0,1,0,0,191,191,7.19999980926514,40.2046279907227,NA,NA,NA,NA,183.899993896484,1,0,0,0,0,0,0,1,1,0,15.6347198486328,5.97284746170044,5.80844259262085,10.4341154098511,-1.40351498126984,2.33333325386047,2.5,2.66666674613953,0,15,15,1,1,1,15,0,0
"BEL","Belgium",1995,5,7,1,0,0,0,0,0,0,0,0,90,0,0,1,0,0,132,132,96.8000030517578,126.951469421387,7.31030082702637,NA,12.2169771194458,2.70000004768372,7.69999980926514,1,1,0,0,0,0,0,0,0,0,16.1316833496094,10.1917400360107,6.79290533065796,15.5311088562012,1.3021137714386,5,5,4.33333349227905,1,16,16,1,1,1,16,0,0
"BEN","Benin",1995,3,31,1,0,0,1,0,0,0,0,12.0299997329712,18.5,0,0,1,0,0,167,167,36.7999992370605,53.2018241882324,NA,NA,NA,NA,161.5,1,0,0,0,0,0,0,1,1,0,15.560055732727,7.04472875595093,4.33336162567139,11.8350086212158,-0.132250398397446,2.83333325386047,3.33333325386047,3.5,0,17,17,1,1,1,17,0,0
"BFA","Burkina Faso",1995,3,37,1,0,0,1,0,0,0,0,50,9,0,0,1,0,0,175,175,15.1000003814697,40.7474708557129,NA,NA,NA,NA,200.300003051758,0,0,0,0,0,0,0,1,1,0,16.1307373046875,6.63206386566162,5.84267473220825,11.7280368804932,-0.68155825138092,3.33333325386047,3.33333325386047,3.5,0.666666686534882,18,18,1,1,1,18,0,0
"BGD","Bangladesh",1995,2,49,0,0,0,0,0,0,0,0,88.3000030517578,0.200000002980232,1,0,0,0,0,190,19,21.7000007629395,28.2094917297363,NA,NA,NA,NA,119.099998474121,1,0,0,0,0,0,1,0,1,0,18.6682167053223,6.63486051559448,6.78173828125,11.9576110839844,-0.822312295436859,5,3.16666674613953,3.16666674613953,0,19,19,1,1,1,19,0,0
